ablation_category	distance_bin	delta_aupr	delta_aupr_low	delta_aupr_high	pval_aupr	delta_precision	delta_precision_low	delta_precision_high	pval_precision
ep_atac	0-10 Kb	-0.006622657697022024	-0.04905022269793866	0.032324933865415406	0.752	0.04990197807010577	0.021829340407638825	0.08863806901806089	0.001
promoter_class	0-10 Kb	-0.002088445194998826	-0.025129187894164226	0.017089437575131778	0.834	0.0559344610580732	0.019552068100312632	0.09243428723843455	0.002
kendall	0-10 Kb	-0.030423278661234558	-0.0629260747560921	-0.003312784779407847	0.042	0.022932734587836796	0.00030671392889886176	0.05317707757495991	0.082
nearby_enhancers	0-10 Kb	-0.004322609089248937	-0.03144219021140929	0.006909173793528469	0.624	0.03185530395589701	0.008194060399872426	0.06222337344232011	0.027
abc_kendall	0-10 Kb	-0.01711491543819881	-0.07137191855000853	0.02440738223062829	0.472	0.003290020892910497	-0.0146102461450102	0.033901669091497895	0.788
abc	0-10 Kb	0.013551145704173404	-0.012183728833017974	0.044050372705765325	0.346	0.0438261098347926	0.02075485327572861	0.0812704344837175	0.003
promoter_atac	0-10 Kb	-0.0189240669146646	-0.04216644970912019	-0.005786986453657905	0.027	0.03140593592802258	0.009053837579583349	0.06277786717985896	0.017
not_abc	0-10 Kb	-0.08381692804722352	-0.1349460132209533	-0.049200303245427096	0.0	-0.0009910185243965021	-0.03065495344693812	0.041182750090063204	0.954
contact_distance	0-10 Kb	0.009470819044304832	-0.024128012263965222	0.043285430827650115	0.574	0.03678428038826058	0.00843399905283845	0.07083851805778683	0.027
enhancer_atac	0-10 Kb	0.012424657209298227	-0.03560989551877778	0.04865911175518065	0.543	0.04029405963522582	0.013429451001572919	0.07539200641098469	0.009
enhancer_atac	10-100 Kb	-0.08372732146423079	-0.11511639545399187	-0.056616092128685874	0.0	-0.0996626483668755	-0.12813909443611077	-0.07403231670412046	0.0
abc_kendall	10-100 Kb	-0.11850146013494381	-0.16112085982608298	-0.08565510412597535	0.0	-0.037538097916581206	-0.06342805642294398	-0.01316955658763316	0.003
promoter_class	10-100 Kb	-0.037243924319324655	-0.0647681202034398	-0.019371292041164886	0.003	-0.04453756475483031	-0.06621495300200776	-0.023471737784033896	0.0
abc	10-100 Kb	-0.06352768136637671	-0.08767472814882002	-0.045798860183342435	0.0	-0.025075746991749904	-0.04648709422134015	-0.006194092057145483	0.012
promoter_atac	10-100 Kb	-0.001235684112604415	-0.014865576816866172	0.012921894883536037	0.858	-0.025224533914535146	-0.044991986610013045	-0.007879130697540464	0.006
kendall	10-100 Kb	-0.03141365416806437	-0.060369850536112366	-0.0054467586745885685	0.029	-0.019009350110368452	-0.0412476690393072	0.0055125461787496055	0.102
nearby_enhancers	10-100 Kb	0.0034397750420877005	-0.005987205381896898	0.013040883414041898	0.482	-0.01372700265082434	-0.028553661338716257	-0.003187535242157043	0.032
contact_distance	10-100 Kb	-0.20982474560337896	-0.2564022135769518	-0.171053642720354	0.0	-0.19104727152669218	-0.22668279661184165	-0.16274129826759165	0.0
ep_atac	10-100 Kb	-0.09684636640783607	-0.12857403562141623	-0.06475213272301172	0.0	-0.0975742331861965	-0.13071192050425684	-0.07103977766417414	0.0
not_abc	10-100 Kb	-0.15698503953943663	-0.2076151114925089	-0.11047064809294363	0.0	-0.10070158887855228	-0.13281161021404694	-0.06439884913709278	0.0
promoter_class	>100 Kb	-0.01840124440407415	-0.03324744751041491	-0.0020612276407661525	0.029	-0.4297977577648651	-0.5532762535421336	-0.3018867924528302	0.0
abc_kendall	>100 Kb	-0.07524365046767832	-0.13211273401897197	-0.046521759714846976	0.004	-0.43274474799254004	-0.5509884654178432	-0.2857142857142857	0.0
ep_atac	>100 Kb	0.005639289837528443	-0.02274566119253728	0.04123536624711751	0.718	-0.4285296076832012	-0.5642886946068402	-0.29272922603080104	0.0
kendall	>100 Kb	-0.07804583635599988	-0.12687877275988327	-0.05296714912487634	0.0	-0.4223849634073441	-0.5764589436093691	-0.3090909090909091	0.0
not_abc	>100 Kb	-0.16787634765941417	-0.25414814025509114	-0.11746862976130876	0.0	-0.42972567325763905	-0.5660377358490566	-0.3	0.0
promoter_atac	>100 Kb	0.006951817310762036	-0.012502668674700096	0.03007693086981774	0.46	-0.4293731769201133	-0.5625212935052377	-0.3106881528360596	0.0
nearby_enhancers	>100 Kb	-0.003011909520050417	-0.021149249077005664	0.013443226289046583	0.697	-0.4260808964071544	-0.5657183004130958	-0.3090909090909091	0.0
abc	>100 Kb	-0.00522891300143594	-0.02219638293487613	0.009822876122279512	0.514	-0.4290445767467915	-0.557144918980269	-0.3044288892863004	0.0
enhancer_atac	>100 Kb	-0.007120949697924258	-0.03497293466490128	0.016990925101542143	0.554	-0.42721310539132734	-0.5619488728920038	-0.31604162580305917	0.0
contact_distance	>100 Kb	-0.15112855864463132	-0.22112929488379346	-0.09717900587591453	0.0	-0.42868449388306556	-0.5657437387015936	-0.2956923530542186	0.0
promoter_atac	all	-0.007850017192721073	-0.01778351890755396	0.0002411523337499976	0.089	-0.007090751003123845	-0.017855791898074784	0.009793108740555468	0.306
promoter_class	all	-0.02275537896275029	-0.036711615702551624	-0.01078790238533602	0.0	-0.01198565147137124	-0.030490858167211223	0.006251974320979147	0.214
kendall	all	-0.03667597330293375	-0.05584749891692535	-0.020975357476085685	0.0	-0.03559365645546205	-0.05321829922801383	-0.015507583071769354	0.001
nearby_enhancers	all	-0.0005759498919272125	-0.01064060499115114	0.00621748533750508	0.888	0.019840000575248873	0.00958405840437989	0.03518738913331038	0.0
abc_kendall	all	-0.06726554527807568	-0.09380254142726764	-0.043859347234269555	0.0	-0.04877404328454416	-0.07045486555954755	-0.029416114552495865	0.0
abc	all	-0.01941804179297486	-0.033669519234464804	-0.0026706527869645703	0.016	-0.00896303412103655	-0.023950934643443597	0.0076838235457574785	0.28
enhancer_atac	all	-0.030443448126385057	-0.05235635903327851	-0.0074476072427656385	0.006	-0.05528135566323166	-0.07685938567496817	-0.03448128828552371	0.0
not_abc	all	-0.1268431065192962	-0.15814944662643254	-0.09937916230768636	0.0	-0.1145445577637117	-0.1382803610020743	-0.08703432595928495	0.0
ep_atac	all	-0.04248026691368329	-0.06453423570077771	-0.018034077850253745	0.0	-0.07204618531311523	-0.09358480179493221	-0.048651768902002825	0.0
contact_distance	all	-0.40802524060093426	-0.45376283021696817	-0.364078744214898	0.0	-0.40860532886699774	-0.44153203430698634	-0.37424058203206795	0.0
